# PBE Book proximity tables — generated by tools/geo-data, do not edit by hand.
# US Census 2020 ZCTA Gazetteer (public domain) sha256:335402fb16b41303
# GeoNames US postal codes (CC BY 4.0, https://www.geonames.org/) sha256:65dfe4f26002b528
# US Census sub-county population estimates 2024 (public domain) column:POPESTIMATE2024 sha256:af9cd4835c93552a
# coordinates rounded to 2 decimal places (~1.1 km)
# population threshold: 10000
# rows: 3590
city,state,lat,lon
Clifton,NJ,40.86,-74.15
Clifton Park,NY,42.85,-73.79
Clinton,CT,41.3,-72.53
Clinton,IA,41.85,-90.2
Clinton,MA,42.41,-71.69
Clinton,MI,42.46,-83.17
Clinton,MS,32.34,-90.36
Clinton,NJ,40.66,-74.93
Clinton,OH,40.95,-81.58
Clinton,TN,36.11,-84.17
Clive,IA,41.61,-93.8
Cloquet,MN,46.75,-92.53
Clovis,CA,36.84,-119.67
Clovis,NM,34.45,-103.24
Clute,TX,29.05,-95.39
Coachella,CA,33.69,-116.17
Coalinga,CA,36.22,-120.42
Coatesville,PA,39.96,-75.83
Cobb,GA,31.97,-83.97
Cochise,AZ,32.04,-109.9
Cocoa,FL,28.39,-80.78
Cocoa Beach,FL,28.32,-80.62
Coconut Creek,FL,26.25,-80.18
Cody,WY,44.49,-109.59
Coeur d'Alene,ID,47.7,-116.73
Cohoes,NY,42.78,-73.73
Colchester,CT,41.55,-72.35
Colchester,VT,44.52,-73.17
Coldwater,MI,41.91,-85.03
Colerain,OH,40.12,-80.81
College Park,MD,38.94,-76.92
College Station,TX,30.62,-96.32
Collegedale,TN,35.05,-85.05
Colleyville,TX,32.89,-97.15
Collierville,TN,35.06,-89.65
Collingswood,NJ,39.91,-75.06
Collinsville,IL,38.68,-89.98
Colonial Heights,VA,37.29,-77.4
Colorado Springs,CO,38.84,-104.77
Colton,CA,34.03,-117.29
Columbia,IL,38.44,-90.22
Columbia,MO,38.95,-92.33
Columbia,PA,40.04,-76.49
Columbia,SC,34.02,-81.01
Columbia,TN,35.63,-87.03
Columbia City,IN,41.15,-85.48
Columbus,GA,32.49,-84.93
Columbus,IN,39.2,-85.91
Columbus,MS,33.5,-88.4
Columbus,NE,41.44,-97.38
Columbus,OH,39.99,-82.99
Commerce City,CO,39.85,-104.86
Commerce Township,MI,42.59,-83.51
Compton,CA,33.87,-118.24
Comstock,MI,42.29,-85.51
Concord,CA,37.97,-122.01
Concord,MA,42.46,-71.36
Concord,NC,35.38,-80.58
Concord,NH,43.27,-71.6
Concord,PA,40.24,-77.72
Conneaut,OH,41.9,-80.59
Connersville,IN,39.62,-85.16
Conroe,TX,30.28,-95.41
Converse,TX,29.49,-98.29
Conway,AR,35.08,-92.41
Conway,NH,43.96,-71.27
Conway,SC,33.86,-79
Conyers,GA,33.66,-84.01
Cookeville,TN,36.18,-85.49
Coolidge,AZ,32.99,-111.54
Coos Bay,OR,43.35,-124.14
Coppell,TX,32.96,-96.99
Copperas Cove,TX,31.22,-97.97
Coral Gables,FL,25.72,-80.27
Coral Springs,FL,26.27,-80.27
Coralville,IA,41.7,-91.6
Corcoran,CA,36.04,-119.53
Corinth,MS,34.92,-88.54
Cornelius,NC,35.47,-80.9
Cornelius,OR,45.5,-123.04
Corning,NY,42.14,-77.04
Cornwall,NY,41.42,-74.04
Corona,CA,33.86,-117.55
Coronado,CA,32.7,-117.19
Corpus Christi,TX,27.76,-97.44
Corsicana,TX,32.06,-96.45
Corte Madera,CA,37.93,-122.52
Cortland,IL,41.92,-88.69
Cortland,NY,42.57,-76.2
Corvallis,OR,44.56,-123.27
Coshocton,OH,40.26,-81.88
Costa Mesa,CA,33.66,-117.92
Cottage Grove,MN,44.82,-92.93
Cottage Grove,OR,43.74,-123.02
Cottonwood,AZ,34.7,-112.02
Council Bluffs,IA,41.24,-95.84
Country Club Hills,IL,41.56,-87.73
Coventry,CT,41.78,-72.34
Coventry,RI,41.7,-71.62
Covina,CA,34.09,-117.88
Covington,GA,33.57,-83.87
Covington,KY,39.02,-84.53
Covington,LA,30.5,-90.12
Coweta,OK,35.96,-95.63
Cranberry Township,PA,41.02,-79.87
Cranford,NJ,40.66,-74.3
Cranston,RI,41.77,-71.47
Crawfordsville,IN,40.04,-86.9
Crest Hill,IL,41.55,-88.13
Crestview,FL,30.77,-86.53
Crestwood,IL,41.64,-87.74
Crete,IL,41.43,-87.59
Cromwell,CT,41.62,-72.66
Crossville,TN,35.96,-85
Crowley,LA,30.22,-92.34
Crowley,TX,32.58,-97.42
Crown Point,IN,41.41,-87.35
Crystal Lake,IL,42.27,-88.36
Cuba,IL,40.51,-90.19
Cudahy,WI,42.95,-87.86
Cullman,AL,34.18,-86.82
Culpeper,VA,38.44,-78
Culver City,CA,34.02,-118.4
Cumberland,MD,39.62,-78.76
Cumberland,NC,35,-78.97
Cumberland,RI,41.97,-71.42
Cumberland,VA,37.5,-78.25
Cumming,GA,34.23,-84.16
Cupertino,CA,37.32,-122.06
Currituck,NC,36.43,-75.99
Custer,MT,46.28,-107.81
Cuyahoga Falls,OH,41.15,-81.49
Cypress,CA,33.82,-118.04
Dallas,GA,33.94,-84.86
Dallas,OR,44.93,-123.35
Dallas,TX,32.79,-96.79
